Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Group,Population,X,Y,Latitude,Longitude,Elevation (ft),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,Preview link
646,Kolagak'styr,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Astellian Spirits,town,2524,356.09,681.16,-32.46,-93.39,328,14°C,Washington (D.C.),,,,,,,,{t1:argent;charges:[{charge:mullet;t:azure;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Kolagak%27styr&population=2524&size=18&seed=7742447050646&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
647,Voulatofthor,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Astellian Spirits,town,8894,625.16,674.96,-31.51,-52.12,3153,9°C,Copenhagen (Denmark),,,,,,,,{t1:argent;charges:[{charge:drum;t:azure;p:e;t2:azure;t3:gules;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Voulatofthor&population=8894&size=30&seed=7742447050647&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
648,Aurpe,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,village,931,1141.32,676.78,-31.79,27.04,1890,11°C,Antwerp (Belgium),,,,,,,,{t1:purpure;charges:[{charge:anchor;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=931&name=Aurpe&seed=7742447050648&width=1000&height=488&style=default&tags=highway%2Cno+square%2Cdense
649,Lods Pongrad,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Astellian Spirits,village,939,234.65,729.92,-39.94,-112.01,30,8°C,Prague (Czechia),,,,,,,,{t1:azure;ordinaries:[{ordinary:flaunches;t:or}];charges:[{charge:mullet;t:or;p:beh;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=939&name=Lods+Pongrad&seed=7742447050649&width=1000&height=488&style=default&tags=river%2Chighway%2Cno+square%2Cdense
650,Zilemud,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Astellian Spirits,town,4728,567.18,728.27,-39.68,-61.01,554,7°C,Montreal (Canada),,,,,,,,{t1:argent;charges:[{charge:angel;t:purpure;p:e;t2:purpure;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Zilemud&population=4728&size=23&seed=7742447050650&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
651,Irint Kep,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,4751,1175.42,732.03,-40.26,32.27,1184,6°C,Stockholm (Sweden),,,,,,,,{t1:argent;division:{division:perCross;t:sable;line:wavy};charges:[{charge:anchor;t:purpure;p:jo;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Irint+Kep&population=4751&size=23&seed=7742447050651&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
652,Kolarintamat,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,3946,1222.22,738.7,-41.28,39.45,738,7°C,Montreal (Canada),,port,,,,,,{t1:gules;charges:[{charge:basilisk;t:argent;p:e;t2:argent;t3:or;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Kolarintamat&population=3946&size=22&seed=7742447050652&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
653,Harasiliaro,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,village,1849,1351.37,732.41,-40.32,59.26,1312,5°C,Harbin (China),,,,,,,,{t1:argent;charges:[{charge:anchor;t:gules;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=1849&name=Harasiliaro&seed=7742447050653&width=1600&height=780&style=snow&tags=river%2Cdead+end%2Cno+square%2Cdense
654,Kovaly,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,3661,1535.87,739.06,-41.34,87.55,118,8°C,Prague (Czechia),,,,walls,,,,{t1:sable;division:{division:perCross;t:or;line:invecked};ordinaries:[{ordinary:bend;t:argent;line:straight}];shield:heater},https://watabou.github.io/city-generator/?name=Kovaly&population=3661&size=21&seed=7742447050654&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
655,Desesiagrad,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Astellian Spirits,town,3907,545.68,742.9,-41.93,-64.31,554,5°C,Harbin (China),,,,,,,,{t1:gules;charges:[{charge:bell;t:argent;p:jln;t2:argent;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Desesiagrad&population=3907&size=22&seed=7742447050655&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
656,Lisiagrad,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Astellian Spirits,city,18122,650.76,753.49,-43.55,-48.19,52,6°C,Stockholm (Sweden),,port,,walls,,,,{t1:vert;ordinaries:[{ordinary:canton;t:or}];charges:[{charge:armillarySphere;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Lisiagrad&population=18122&size=39&seed=7742447050656&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
657,Pitofthork's,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,3007,1293.98,742.76,-41.91,50.45,643,5°C,Harbin (China),,,,,,,,{t1:or;charges:[{charge:anchor;t:sable;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Pitofthork%27s&population=3007&size=20&seed=7742447050657&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
658,Bily,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,village,1080,1512.23,751.97,-43.32,83.93,82,6°C,Stockholm (Sweden),,,,walls,,,,{t1:chequy-or-azure;division:{division:perBendSinister;t:sable;line:straight};ordinaries:[{ordinary:gemelle;t:gules;line:straight}];shield:heater},https://watabou.github.io/village-generator/?pop=1080&name=Bily&seed=7742447050658&width=1400&height=683&style=default&tags=dead+end%2Cno+square%2Cpalisade%2Cdense
659,Dagend,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,4126,1183.73,757.75,-44.2,33.55,82,4°C,Reykjavik (Iceland),,,,,,,,{t1:azure;charges:[{charge:anchor;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Dagend&population=4126&size=22&seed=7742447050659&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
660,Adengagilo,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,village,1684,1486.26,762.01,-44.86,79.94,52,4°C,Reykjavik (Iceland),,,,,,,,{t1:argent;charges:[{charge:mullet6;t:azure;p:beh;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=1684&name=Adengagilo&seed=7742447050660&width=1600&height=780&style=snow&tags=dead+end%2Cfarmland%2Cno+square%2Cdense
661,Qulaka,ECP,Eastern Crown Provines,Crown,Crown Provines,Quaspian,No religion,town,3878,1171.1,144.2,49.89,31.61,13,-3°C,Okhotsk (Russia),,,,,,,,{t1:argent;ordinaries:[{ordinary:gemelle;t:azure;line:seaWaves}];charges:[{charge:crossTemplar;t:gules;p:abc;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Qulaka&population=3878&size=22&seed=7742447050661&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
662,In'lod,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Shwazen Beliefs,village,1725,660.79,207.08,40.24,-46.66,118,4°C,Reykjavik (Iceland),,port,,,,,,{t1:purpure;charges:[{charge:drakkar;t:argent;p:jln;t2:argent;t3:argent;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=1725&name=In%27lod&seed=7742447050662&width=1600&height=780&style=snow&tags=coast%2Chighway%2Cno+square%2Cdense
663,Tustead,,,Quaspia,Quaspia,Crown,No religion,town,9232,1691.85,193.82,42.28,111.48,82,4°C,Reykjavik (Iceland),,,,,,,,{t1:purpure;division:{division:perFess;t:argent;line:straight};charges:[{charge:crossCalvary;t:or;p:k;size:0.7};{charge:crossedBones;t:azure;p:n;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Tustead&population=9232&size=30&seed=7742447050663&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
664,Voularorpe,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Shwazen Beliefs,town,4924,302.63,211.63,39.55,-101.59,643,5°C,Harbin (China),,,,,,,,{t1:vert;ordinaries:[{ordinary:chevron;t:or}];charges:[{charge:anchor;t:gules;p:ach;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Voularorpe&population=4924&size=24&seed=7742447050664&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
665,Dogol,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Shwazen Beliefs,village,1470,88.9,226.32,37.29,-134.37,30,7°C,Montreal (Canada),,port,,,,,,{t1:chequy-argent-azure;ordinaries:[{ordinary:chevron;t:gules}];shield:heater},https://watabou.github.io/village-generator/?pop=1470&name=Dogol&seed=7742447050665&width=1400&height=683&style=default&tags=coast%2Chighway%2Cno+square%2Cdense
666,Haway,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Shwazen Beliefs,village,1005,448.84,227.6,37.1,-79.16,266,6°C,Stockholm (Sweden),,,,,,,,{t1:purpure;division:{division:perFess;t:or;line:dovetailedIndented};charges:[{charge:rake;t:argent;p:k;size:0.7};{charge:dragonRampant;t:azure;p:n;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=1005&name=Haway&seed=7742447050666&width=1400&height=683&style=default&tags=river%2Chighway%2Cno+square%2Cdense
667,Nama-Yitri,,,Quaspia,Quaspia,Quaspian,Soumi Shamanism,town,6370,1446.76,217.18,38.69,73.89,2218,3°C,Tromsø (Norway),,,citadel,,,,,{t1:gules;charges:[{charge:lute;t:argent;p:jeo;t2:argent;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Nama-Yitri&population=6370&size=26&seed=7742447050667&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
668,Varia,,,Crown,Crown Provines,Crown,No religion,town,8173,1713.45,223.27,37.76,114.79,52,7°C,Montreal (Canada),,port,,,,,,{t1:vert;charges:[{charge:shipWheel;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Varia&population=8173&size=29&seed=7742447050668&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=0.42
669,Yorga'sol,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Shwazen Beliefs,village,929,246.47,231.36,36.52,-110.2,840,7°C,Montreal (Canada),,,,,,,,{t1:argent;division:{division:perPile;t:sable;line:dovetailedIndented};charges:[{charge:anchor;t:purpure;p:be;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=929&name=Yorga%27sol&seed=7742447050669&width=1000&height=488&style=default&tags=river%2Cdead+end%2Cfarmland%2Cno+square%2Cdense
670,Quine,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Shwazen Beliefs,town,11539,425.84,247.07,34.11,-82.69,472,10°C,London (England),,port,,walls,,,,{t1:sable;charges:[{charge:skull;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Quine&population=11539&size=33&seed=7742447050670&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
671,O-Tra,ECP,Eastern Crown Provines,Crown,Crown Provines,Quaspian,No religion,village,985,1581.94,262.74,31.71,94.62,4738,3°C,Tromsø (Norway),,,,walls,,,,{t1:gules;charges:[{charge:cowHorns;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=985&name=O-Tra&seed=7742447050671&width=1000&height=488&style=snow&tags=river%2Cdead+end%2Cno+square%2Cpalisade%2Cdense
672,Whyrga,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,6202,1051.18,279.8,29.09,13.22,210,15°C,Rome (Italy),,,,,,,,{t1:argent;charges:[{charge:cannon;t:gules;p:jln;t2:gules;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Whyrga&population=6202&size=26&seed=7742447050672&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
673,Zomul,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,village,1085,1069.09,273.18,30.11,15.96,266,14°C,Washington (D.C.),,,citadel,,,,,{t1:azure;division:{division:perBendSinister;t:argent;line:straight};ordinaries:[{ordinary:pall;t:or}];shield:heater},https://watabou.github.io/village-generator/?pop=1085&name=Zomul&seed=7742447050673&width=1400&height=683&style=default&tags=dead+end%2Cfarmland%2Cno+square%2Cdense
674,Juals Hold,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,3495,1138.3,272.8,30.16,26.58,161,15°C,Rome (Italy),,,,,,,,{t1:argent;division:{division:perCross;t:gules;line:potenty};charges:[{charge:crossClechy;t:vert;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Juals+Hold&population=3495&size=21&seed=7742447050674&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
675,Voud'stead,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,No religion,village,977,1746.19,289.65,27.58,119.81,30,17°C,Lisbon (Portugal),,,,,,,,{t1:gules;division:{division:perPile;t:or;line:straight};charges:[{charge:roundel;t:argent;p:e;divided:counter;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=977&name=Voud%27stead&seed=7742447050675&width=1000&height=488&style=default&tags=highway%2Cfarmland%2Cno+square%2Cdense
676,Jualy Gro,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,No religion,village,1140,1124.18,298,26.3,24.41,118,19°C,Marrakesh (Morocco),,,,,,,,{t1:semy_of_mullet8-or-vert;charges:[{charge:attire;t:gules;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=1140&name=Jualy+Gro&seed=7742447050676&width=1400&height=683&style=default&tags=dead+end%2Cno+square%2Cdense
677,Galakika,ECP,Eastern Crown Provines,Crown,Crown Provines,Quaspian,Soumi Shamanism,town,4966,1421.67,297.93,26.31,70.04,1447,16°C,Dubrovnik (Croatia),,,,walls,,,,{t1:barry-gules-or;division:{division:perCross;t:argent;line:straight};ordinaries:[{ordinary:bend;t:sable;line:straight}];shield:heater},https://watabou.github.io/city-generator/?name=Galakika&population=4966&size=24&seed=7742447050677&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
678,Maranasak,ECP,Eastern Crown Provines,Crown,Crown Provines,Quaspian,Soumi Shamanism,town,5379,1431.74,301.7,25.73,71.58,1890,15°C,Rome (Italy),,,,,,,,{t1:sable;division:{division:perPale;t:argent;line:straight};charges:[{charge:sun;t:or;p:ABCDEFGHIJKL;t2:or;t3:or;size:0.18};{charge:grapeBunch;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Maranasak&population=5379&size=24&seed=7742447050678&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
679,Upilpa-Go,,,Quaspia,Quaspia,Quaspian,Soumi Shamanism,town,5290,1540.2,302.33,25.64,88.22,2218,15°C,Rome (Italy),,port,citadel,,,,,{t1:argent;ordinaries:[{ordinary:bend;t:azure;line:wavy}];charges:[{charge:inescutcheon;t:azure;p:cg;size:0.5};{charge:trefle;t:or;p:cg;size:0.25}];shield:heater},https://watabou.github.io/city-generator/?name=Upilpa-Go&population=5290&size=24&seed=7742447050679&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
680,Quisale,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Shwazen Beliefs,town,3967,364.44,327.01,21.85,-92.11,1447,19°C,Marrakesh (Morocco),,,citadel,,,,,{t1:gules;charges:[{charge:bridge;t:or;p:abcpqh;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Quisale&population=3967&size=22&seed=7742447050680&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
681,Ban Kep,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Shwazen Beliefs,town,4086,684.1,337.7,20.21,-43.08,82,22°C,Guangzhou (China),,,,,,,,{t1:argent;ordinaries:[{ordinary:pile;t:azure}];charges:[{charge:unicornRampant;t:argent;p:b;t2:argent;t3:sable;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Ban+Kep&population=4086&size=22&seed=7742447050681&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
682,Oldsend,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,3312,1583.46,327.66,21.75,94.85,5788,11°C,Antwerp (Belgium),,,citadel,,,,,{t1:argent;ordinaries:[{ordinary:bendSinister;t:sable;line:straight}];charges:[{charge:lochaberAxe;t:argent;p:lem;t2:argent;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Oldsend&population=3312&size=20&seed=7742447050682&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
683,Baring Hak,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,village,1458,1740.97,347.09,18.77,119.01,52,24°C,Dakar (Senegal),,,,,,,,{t1:azure;ordinaries:[{ordinary:pallReversed;t:or}];charges:[{charge:escallop;t:or;p:acz;size:0.4}];shield:heater},https://watabou.github.io/village-generator/?pop=1458&name=Baring+Hak&seed=7742447050683&width=1400&height=683&style=default&tags=river%2Cdead+end%2Cno+square%2Cdense
684,Bonata,WCP,Western Crown Provinces,Crown,Crown Provines,Bakuna,Shwazen Beliefs,village,1206,250.49,352.81,17.89,-109.58,3153,20°C,Alexandria (Egypt),,,citadel,,,,,{t1:azure;charges:[{charge:greyhoundCourant;t:argent;p:def;t2:argent;t3:or;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=1206&name=Bonata&seed=7742447050684&width=1400&height=683&style=default&tags=dead+end%2Cno+square%2Cdense
685,Balend,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,village,1986,1247.79,356.82,17.28,43.37,1184,24°C,Dakar (Senegal),,,,,,,,{t1:sable;division:{division:perCross;t:or;line:potentySinister};charges:[{charge:rake;t:argent;p:j;size:0.6};{charge:roundel;t:gules;p:l;size:0.6};{charge:roundel;t:purpure;p:m;size:0.6};{charge:crossHummetty;t:argent;p:o;size:0.6}];shield:heater},https://watabou.github.io/village-generator/?pop=1986&name=Balend&seed=7742447050685&width=1600&height=780&style=default&tags=river%2Chighway%2Cno+square%2Cdense
686,Malaskasz,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,7241,1599.06,353.93,17.72,97.24,1447,23°C,Rio de Janeiro (Brazil),,,,,,,,{t1:argent;charges:[{charge:anchor;t:gules;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Malaskasz&population=7241&size=27&seed=7742447050686&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
687,Valadarorga,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,5744,1582.43,374.98,14.5,94.69,1063,25°C,Miami (USA),,,citadel,,,,,{t1:argent;charges:[{charge:scale;t:purpure;p:jln;t2:purpure;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Valadarorga&population=5744&size=25&seed=7742447050687&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
688,Bagararolas,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,No religion,town,5171,1062.27,387.65,12.55,14.92,554,26°C,Jakarta (Indonesia),,port,,walls,,,,{t1:azure;ordinaries:[{ordinary:chevron;t:argent}];shield:heater},https://watabou.github.io/city-generator/?name=Bagararolas&population=5171&size=24&seed=7742447050688&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural&sea=0.24
689,Goltola's,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,6188,1730.69,387.28,12.61,117.43,118,27°C,Mogadishu (Somalia),,,citadel,,,,,{t1:argent;division:{division:perCross;t:gules;line:urdy};shield:heater},https://watabou.github.io/city-generator/?name=Goltola%27s&population=6188&size=26&seed=7742447050689&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
690,Dolalia,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,village,1014,1767.37,393.55,11.65,123.06,52,28°C,Bangkok (Thailand),,,,,,,,{t1:argent;ordinaries:[{ordinary:cross;t:purpure;line:flechy}];charges:[{charge:fan;t:or;p:beh;t2:purpure;size:0.3}];shield:heater},https://watabou.github.io/village-generator/?pop=1014&name=Dolalia&seed=7742447050690&width=1400&height=683&style=default&tags=river%2Cdead+end%2Cfarmland%2Cno+orchards%2Cno+square%2Cdense
691,South Trola,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,4944,1156.73,433.92,5.46,29.41,948,27°C,Mogadishu (Somalia),,port,,,,,,{t1:argent;charges:[{charge:ramsHorn;t:azure;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=South+Trola&population=4944&size=24&seed=7742447050691&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=1.09
692,Silizantyl,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,7796,1392.98,450.32,2.94,65.64,6352,16°C,Dubrovnik (Croatia),,,,,,,,{t1:gules;division:{division:perPale;t:argent;line:archedReversed};charges:[{charge:roundel2;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Silizantyl&population=7796&size=28&seed=7742447050692&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
693,Brastyrpemu,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Shwazen Beliefs,village,896,567.18,467.69,0.28,-61.01,840,27°C,Mogadishu (Somalia),,,,,,,,{t1:purpure;charges:[{charge:lionHeadErased;t:or;p:e;t2:or;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=896&name=Brastyrpemu&seed=7742447050693&width=1000&height=488&style=default&tags=river%2Cdead+end%2Cuncultivated%2Cno+square%2Cdense
694,Lodstead,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,2127,1471.63,466.33,0.49,77.7,7559,14°C,Washington (D.C.),,,,,,,,{t1:or;charges:[{charge:crescent;t:vert;p:jlh;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Lodstead&population=2127&size=17&seed=7742447050694&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
695,Birgarorgad,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,2590,1632.16,465.69,0.58,102.32,13,29°C,Niamey (Niger),,,,,,,,{t1:sable;division:{division:perCross;t:or;line:nebuly};charges:[{charge:arrow;t:argent;p:j;t2:argent;t3:argent;size:0.6};{charge:hand;t:gules;p:l;size:0.6};{charge:arbalest;t:purpure;p:m;size:0.6};{charge:crossFormee2;t:argent;p:o;size:0.6}];shield:heater},https://watabou.github.io/city-generator/?name=Birgarorgad&population=2590&size=19&seed=7742447050695&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
696,Izan Ward,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,village,1299,1716.41,474.51,-0.77,115.24,30,29°C,Niamey (Niger),,,,,,,,{t1:vairEnPointe-azure-argent-small;ordinaries:[{ordinary:saltire;t:or;line:straight}];charges:[{charge:crossMaltese;t:purpure;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=1299&name=Izan+Ward&seed=7742447050696&width=1400&height=683&style=default&tags=estuary%2Chighway%2Cno+orchards%2Cno+square%2Cdense
697,Grohorgad,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Shwazen Beliefs,town,7543,478.81,481.53,-1.84,-74.57,948,27°C,Mogadishu (Somalia),,,,,,,,{t1:argent;division:{division:perBendSinister;t:sable;line:arched};charges:[{charge:key;t:azure;p:j;size:0.7};{charge:lozengeFaceted;t:argent;p:o;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Grohorgad&population=7543&size=28&seed=7742447050697&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
698,Juals'lod,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Shwazen Beliefs,village,1863,576.93,496.3,-4.11,-59.52,6352,16°C,Dubrovnik (Croatia),,,,,,,,{t1:argent;ordinaries:[{ordinary:bendlet;t:sable;line:raguly}];charges:[{charge:ladybird;t:argent;p:joe;t2:argent;t3:argent;size:0.3}];shield:heater},https://watabou.github.io/village-generator/?pop=1863&name=Juals%27lod&seed=7742447050698&width=1600&height=780&style=default&tags=river%2Chighway%2Cno+square%2Cdense
699,Quin'skaror,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,No religion,town,7466,1085.96,495.02,-3.91,18.55,52,29°C,Niamey (Niger),,,,,,,,{t1:argent;ordinaries:[{ordinary:pall;t:purpure}];charges:[{charge:helmetGreat;t:argent;p:jleh;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Quin%27skaror&population=7466&size=28&seed=7742447050699&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
